subset,severity_definition,severe_Q1_per_100k,severe_Q5_per_100k,severe_Q1_over_Q5,severe_Q1_over_Q5_lo,severe_Q1_over_Q5_hi,nonsevere_Q1_per_100k,nonsevere_Q5_per_100k,nonsevere_Q1_over_Q5,nonsevere_Q1_over_Q5_lo,nonsevere_Q1_over_Q5_hi,nonsevere_over_severe_gradient
all confirmed cases,jaundice OR renal OR haemorrhage (primary),1.6786228340215055,0.7870281568614996,2.1328624895905826,2.0536168754400252,2.2148780443278846,3.3732848100326556,0.24330838918746675,13.8642355132012,13.26625294927254,14.492722710410863,6.500295063964735
all confirmed cases,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,1.6786228340215055,0.7870281568614996,2.1328624895905826,2.0536168754400252,2.2148780443278846,3.3728627273487173,0.24330838918746675,13.862500748997846,13.264583728356246,14.490919225267119,6.499481713731506
all confirmed cases,jaundice alone,1.539757631005897,0.8121314033649685,1.8959464252042182,1.8237086785347845,1.9707390637484121,3.6256902550275916,0.3263422045450943,11.110086910400184,10.682680975325326,11.556440182964794,5.859916062345213
all confirmed cases,renal failure alone,0.487083417264475,0.42372073219041834,1.1495387887831312,1.076788359207374,1.22642395977262,4.628136629380389,0.6571901200010677,7.04231011472429,6.834938858313485,7.256313092116701,6.126204860106615
all confirmed cases,jaundice AND renal (Weil-like),0.31191910343019674,0.36321547138718585,0.8587715226967647,0.7928245753368531,0.9291951206301844,4.77502140339082,0.7099713049570789,6.7256540793285895,6.533268066893992,6.923979109618683,7.831715306777169
all confirmed cases,score >= 2 of 3,0.37101067918151953,0.3760889311325545,0.9864972044358172,0.9161340864067118,1.0613317354237772,4.680896964872641,0.6542476149164119,7.1546259522408535,6.944132836704144,7.371856877168128,7.252555729575149
clinical block fully decoded,jaundice OR renal OR haemorrhage (primary),1.5570630210473557,0.6602245783696188,2.358383907627948,2.2659727830394925,2.454250933296434,3.2365300204367373,0.21388333834090995,15.132221357411266,14.44424506000136,15.857573836696012,6.416352023293437
clinical block fully decoded,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,1.5574851037312938,0.6602245783696188,2.3590232093106875,2.2665952539973504,2.45490749454459,3.236107937752799,0.21388333834090995,15.130247932612438,14.442350943753265,15.855516987797534,6.413776631317474
clinical block fully decoded,jaundice alone,1.35572958080892,0.6007308036892367,2.256800504457319,2.162795893286247,2.3545301280195026,3.437863460675173,0.27337711302129203,12.575535028081937,12.056811787382134,13.119288001250347,5.57228474703213
clinical block fully decoded,renal failure alone,0.4089981207359414,0.30822740761768275,1.326936251052833,1.2341207956096572,1.4257036838103898,4.384594920748151,0.565880509092846,7.748269909096225,7.507059754919604,7.997740452827969,5.839217899841461
clinical block fully decoded,jaundice AND renal (Weil-like),0.26506792551307656,0.2635381116444746,1.0058049056322667,0.9211281494648476,1.0969141788752503,4.528525115971016,0.6105698050660542,7.4168835052056,7.192659500522728,7.648519979087252,7.374077680147341
clinical block fully decoded,score >= 2 of 3,0.33133490689134565,0.30169872446110296,1.0982310498103005,1.0146642935711268,1.1875449015622772,4.462258134592747,0.5724091922494258,7.795573856976653,7.554533235078219,8.044816908821,7.098300360678381
