variable,source_system,raw_field,accepted_values,transformation,missing_data_rule,aggregation_rule,used_in
classi_fin,"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",CLASSI_FIN,1=confirmado; 2=descartado; 8=inconclusivo. No 'ignorado' code declared.,"enum lookup, concept lept_classi_fin; codes matched verbatim and zero-stripped","Only classi_fin=='confirmado' enters the analytic population. descartado, inconclusivo and no-classification records are counted as separate exclusion rows in study_flow.csv, not dropped silently. decoded value carries a companion <field>_state in {valid, missing, unknown, invalid}; blank -> missing, explicit 'ignorado' code -> unknown, code absent from the registry -> invalid. The four are never pooled.",count of records = 'cases',"study population definition (60_analysis_panel.py, study_flow.csv)"
epiweek_onset_year / epiweek_onset_week,"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",SEM_PRI,"YYYYWW; year 1990-2100, week 1-53 (week 53 kept, it is legitimate)","epi_week transform (brepi/codebook/transforms.py): zero-fill to 6, split 4+2, cast","Records with a null onset year cannot be placed in any year and are excluded as a named cascade step (155 confirmed records); a valid onset year outside 2007-2025 is a separate exclusion (105). Week outside 1-53 -> invalid, never coerced.",assigns each case to one calendar year; the panel's time key,analytic window; every time series
municipality_residence_code7,"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",ID_MN_RESI,"6-digit IBGE municipality code (no check digit), resolved against the 2022 lattice (5,570 municipalities)","reference transform against ibge_municipality (zero_pad 6); emits name plus attributes uf, region, code7. code6->code7 via the check-digit codec in brepi/geo/lattice.py, not string concatenation.","Null residence municipality -> excluded as a named cascade step. Residence, never notification (ID_MUNICIP) or infection (COMUNINF) municipality; the three differ and mixing them mixes attributions.",joined to health_region_code via municipality_atlas; case attributed to region of residence,all geography; health-region panel
evolucao (outcome),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",EVOLUCAO,1=cura; 2=obito_por_leptospirose; 3=obito_por_outras_causas; 9=ignorado (-> unknown),"enum lookup, concept lept_evolucao","death = state=='valid' AND value=='obito_por_leptospirose'. obito_por_outras_causas is a KNOWN outcome that is not a case fatality. outcome_known = state=='valid' and is the case-fatality denominator: a blank is never read as survival. decoded value carries a companion <field>_state in {valid, missing, unknown, invalid}; blank -> missing, explicit 'ignorado' code -> unknown, code absent from the registry -> invalid. The four are never pooled.",sum(deaths) / sum(outcome_known) after summing both; never a mean of region ratios,case fatality; the study's outcome
ate_hosp (hospitalisation),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",ATE_HOSP,"1=sim; 2=nao; 9=ignorado (-> unknown). Concept sinan_sim_nao_ign, shared with 29 clinical/antecedent fields.","enum lookup, concept sinan_sim_nao_ign","hospitalised = state=='valid' AND value=='sim'. hosp_known = state=='valid'. A blank is not a 'nao'. decoded value carries a companion <field>_state in {valid, missing, unknown, invalid}; blank -> missing, explicit 'ignorado' code -> unknown, code absent from the registry -> invalid. The four are never pooled.",H = sum(hospitalised) / sum(hosp_known); the exposure,the exposure H (and B = 1 - H)
criterio (confirmation criterion),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",CRITERIO,"1=clinico_laboratorial; 2=clinico_epidemiologico. No 'ignorado' code declared, so this field has no 'unknown' state.","enum lookup, concept lept_criterio","lab_confirmed = state=='valid' AND value=='clinico_laboratorial'; crit_known = state=='valid'. decoded value carries a companion <field>_state in {valid, missing, unknown, invalid}; blank -> missing, explicit 'ignorado' code -> unknown, code absent from the registry -> invalid. The four are never pooled.",share_lab = sum(lab_confirmed) / sum(crit_known),case-mix covariate; diagnostic-rigour check on the gradient
cli_icteri (jaundice),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",CLI_ICTERI,1=sim; 2=nao; 9=ignorado (-> unknown),"enum lookup, concept sinan_sim_nao_ign","Contributes to the severe phenotype only when its own state is valid. decoded value carries a companion <field>_state in {valid, missing, unknown, invalid}; blank -> missing, explicit 'ignorado' code -> unknown, code absent from the registry -> invalid. The four are never pooled.",enters the severe-phenotype disjunction; not aggregated alone in the panel,severe phenotype
cli_renal (renal impairment),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",CLI_RENAL,1=sim; 2=nao; 9=ignorado (-> unknown),"enum lookup, concept sinan_sim_nao_ign","Contributes to the severe phenotype only when its own state is valid. decoded value carries a companion <field>_state in {valid, missing, unknown, invalid}; blank -> missing, explicit 'ignorado' code -> unknown, code absent from the registry -> invalid. The four are never pooled.",enters the severe-phenotype disjunction,severe phenotype
cli_hemorr (haemorrhage),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",CLI_HEMORR,1=sim; 2=nao; 9=ignorado (-> unknown),"enum lookup, concept sinan_sim_nao_ign","Contributes to the severe phenotype only when its own state is valid. decoded value carries a companion <field>_state in {valid, missing, unknown, invalid}; blank -> missing, explicit 'ignorado' code -> unknown, code absent from the registry -> invalid. The four are never pooled.",enters the severe-phenotype disjunction,severe phenotype
severe (severe phenotype),derived (analysis panel),"CLI_ICTERI, CLI_RENAL, CLI_HEMORR",1 if any of the three decodes to 'sim'; 0 if all three decode and none is 'sim',disjunction over the three decoded fields (60_analysis_panel.py),"sev_known requires ALL THREE states to be valid; a case with two answers and one blank does not enter the denominator, because a blank third sign is not a negative third sign. This is a conjunctive denominator and is the least complete of the study's measures.",share_severe = sum(severe) / sum(sev_known),case-mix; severity decomposition of the gradient
cli_hemopu (pulmonary haemorrhage),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",CLI_HEMOPU,1=sim; 2=nao; 9=ignorado (-> unknown),"enum lookup, concept sinan_sim_nao_ign","EXCLUDED from the canonical severe phenotype in 60_analysis_panel.py: it is in practice the same field as CLI_HEMORR (they disagree in 13 of 61,219 records). DISCREPANCY ON RECORD: 44_depth_vs_severity.py defines SEVERE_FIELDS with four fields including cli_hemopu. The panel's three-field rule is canonical; any figure cut from 44 uses the four-field variant and must say so.",not aggregated in the canonical panel,44_depth_vs_severity.py only (variant definition)
age_years,"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",NU_IDADE_N,"packed UVVV: unit 1=hours, 2=days, 3=months, 4=years; value 000-999. Unit outside 1-4 -> invalid.","sinan_packed_age transform: sub-year ages converted (months/12, days/365.25, hours/8766), not floored to zero; age_unit retained alongside.","age60 = state=='valid' AND age_years >= 60; age_known = state=='valid'. A stray unit digit is invalid, never a newborn -- treating it as one would inflate the band where leptospirosis is rarest.",share_age60 = sum(age60) / sum(age_known),"case-mix covariate (age cut 60, named AGE_CUT in 60_analysis_panel.py)"
cs_sexo (sex),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",CS_SEXO,M=masculino; F=feminino; I=ignorado (-> unknown),"enum lookup, concept sinan_sexo","male = (cs_sexo=='masculino'). NOTE: the panel computes share_male on the ALL-CASES denominator rather than on the valid-state denominator, unlike every other proportion in the panel. It is a descriptive covariate, not an estimand, but the asymmetry is on record.",share_male = sum(male) / cases,case-mix covariate; sex-specific rate ratio
con_ambien (infection setting),"SINAN-LEPT (SINAN NET, annual national LEPTBR files, 2007-2025)",CON_AMBIEN,SINAN environment-of-infection enumeration (concept bound in the registry),enum lookup,"decoded value carries a companion <field>_state in {valid, missing, unknown, invalid}; blank -> missing, explicit 'ignorado' code -> unknown, code absent from the registry -> invalid. The four are never pooled.","case counts and case fatality within setting, computed on valid-state cases only",52_exposure_routes.py: does infection setting explain the gradient?
