guideline,item_number,item_text_abbreviated,where_addressed,evidence_file,status
STROBE,1,"Title and abstract: indicate the design with a common term; give a balanced, informative summary","Title names the design ('estudo ecológico de séries temporais') and the country-window ('Brasil, 2007-2025'). Resumo is structured Objetivo/Métodos/Resultados/Conclusão and states the unit of analysis (região de saúde por ano), the exposure H and its inverse direction, and the three-system comparison. Every number in the Resumo is read from a result file at compile time, not transcribed.",paper/artigo.qmd; data/results/descriptives/descriptives_report.json; data/results/triangulation/three_systems_by_stratum.csv,satisfied
STROBE,2,Background/rationale: scientific background and rationale for the investigation,"Introdução sets out the mild-to-severe spectrum of leptospirosis, the community-cohort evidence that most infection is never notified, and why a case-fatality comparison between territories is therefore a comparison of case definitions in practice.",paper/artigo.qmd; docs/literature/,satisfied
STROBE,3,"Objectives: specific objectives, including any prespecified hypotheses","Objetivo stated in the Resumo and at the end of the Introdução. The falsification conditions are prespecified in the script docstrings rather than left implicit: 68_primary_model.R names four results any one of which would break the claim; 63, 64, 65, 66, 67 and 69 each open with what would confirm and what would rule out the threat they test.",paper/artigo.qmd; studies/leptospirosis/68_primary_model.R; studies/leptospirosis/69_within_region.py,satisfied
STROBE,4,Study design: present key elements early in the paper,"Métodos, 'Delineamento e período': ecological time-series, unit health region x year, 2007-2025, with the reason the series starts in 2007 (the SINAN Windows -> SINAN NET layout change; only 46 fields are common to the two eras). The panel that realises this design is 8,208 region-year cells over 432 regions carrying at least one confirmed case.",paper/artigo.qmd; data/results/analysis_panel/panel_report.json; data/results/analysis_panel/region_year_panel.parquet,satisfied
STROBE,5,"Setting: locations, relevant dates, periods of exposure, follow-up and data collection","Métodos, 'Cenário e fontes de dados': 5,570 municipalities on the 2022 territorial mesh aggregated into 439 health regions by the official CIB/CIR division; SINAN window 2007-2025 by symptom onset; the three-system comparison restricted to 2008-2024, the only years all three systems have complete. The dated provenance of every geography is in the atlas manifest and ADR-001.",paper/artigo.qmd; data/results/atlas/atlas_manifest.json; docs/ADR-001-versioned-geographies.md,satisfied
STROBE,6,"Participants: eligibility criteria, sources and methods of selection","Métodos, 'Variáveis' (the operationalisation table) and 'Tamanho do estudo'. The full cascade is study_flow.csv: 328,984 notifications -> 66,667 confirmed -> 66,407 in window -> 66,358 with a residence municipality. Discarded, inconclusive and unclassified records are counted as named rows rather than dropped silently.",data/results/analysis_panel/study_flow.csv; data/results/data_quality_record/field_dictionary.csv,satisfied
STROBE,7,"Variables: clearly define outcomes, exposures, predictors, potential confounders and effect modifiers; give diagnostic criteria","Métodos, 'Variáveis' carries the operationalisation table in the main text (field, accepted values, denominator) and points to the field dictionary (S3) for the full 36-variable version. The exposure H is defined once as hospitalised confirmed cases over confirmed cases with a valid hospitalisation field, and its direction is stated as inverse: high H = surveillance meeting only severe illness.",paper/artigo.qmd; data/results/data_quality_record/field_dictionary.csv; docs/CODEBOOK.md,satisfied
STROBE,8,"Data sources / measurement: for each variable, sources of data and details of methods of assessment; comparability of methods across groups","Métodos, 'Cenário e fontes de dados' names the four systems. Per-variable assessment detail -- raw field, accepted codes, transformation, missing-data rule, aggregation rule -- is one row per analytic variable in field_dictionary.csv, derived by reading the codebook registry and the package source rather than from memory. Comparability across the three systems is the subject of 62.",data/results/data_quality_record/field_dictionary.csv; data/results/triangulation/triangulation_report.json; docs/CODEBOOK.md,satisfied
STROBE,9,Bias: describe any efforts to address potential sources of bias,"Métodos, 'Vieses' names the shared denominator, the varying completeness of the outcome field and the ecological design. Each has a directed analysis behind it rather than a sentence: mechanical coupling decomposed in 61, differential completeness bounded adversarially in 63, case mix standardised in 66, confirmation pathway and severity coding attacked in 65, the minimum-case rule swept in 64.",data/results/coupling/coupling_report.json; data/results/data_quality_record/cfr_adversarial_gradient_bounds.csv; data/results/case_mix/case_mix_report.json; data/results/construct_validity/construct_validity_report.json,satisfied
STROBE,10,Study size: explain how the study size was arrived at,"Métodos, 'Tamanho do estudo': a census of confirmed notifications, no sampling. The primary model retains every region with at least one confirmed case and a known outcome, using partial pooling instead of exclusion; the quintile tables exclude regions with fewer than 30 cases with a valid hospitalisation field, and the effect of that rule is reported at four thresholds.",data/results/analysis_panel/study_flow.csv; data/results/exclusion_sensitivity/exclusion_by_threshold.csv,satisfied
STROBE,11,Quantitative variables: explain how they were handled; which groupings were chosen and why,"H enters the model continuously, on a fixed +10-percentage-point scale, centred at the national value; the scale is carried as a column in every estimate table rather than left in prose. For the descriptive tables regions are ordered on H and cut into five strata of approximately equal CASE mass (not equal region count), so each stratum supports a case-fatality estimate of comparable precision; the cut points and the region/case/person-year count of each stratum are reported.",data/results/primary_model/primary_model_report.json; data/results/case_mix/H_quintile_assignment.csv; data/results/triangulation/three_systems_by_stratum.csv,satisfied
