subset,severity_definition,q,H,person_years,denominator_cases,severe_cases,nonsevere_cases,share_severe,share_severe_lo,share_severe_hi,severe_per_100k,severe_lo,severe_hi,nonsevere_per_100k,nonsevere_lo,nonsevere_hi
all confirmed cases,jaundice OR renal OR haemorrhage (primary),1,0.41915085817524844,236920404.0,11969,3977,7992,0.3322750438633136,0.3238363637728988,0.34079536314673836,1.6786228340215055,1.6268534439713276,1.7316204047469077,3.3732848100326556,3.299729403630218,3.448066472418689
all confirmed cases,jaundice OR renal OR haemorrhage (primary),2,0.6706794861436536,376629531.0,11866,5649,6217,0.4760660711275914,0.4670447044210435,0.48509918462558177,1.499882387077077,1.4610216184728786,1.539515086663143,1.650693715783004,1.6099136344373062,1.6922455667765355
all confirmed cases,jaundice OR renal OR haemorrhage (primary),3,0.7441766418634747,529824435.0,11854,6202,5652,0.5231989201957146,0.5141607686455375,0.5322256741417887,1.1705764382120276,1.141622831612806,1.20007866567124,1.0667684664260528,1.0391366261038708,1.094949038818119
all confirmed cases,jaundice OR renal OR haemorrhage (primary),4,0.8445305415876679,726671047.0,10685,7099,3586,0.6643893308376229,0.6553452239902544,0.6733437755973342,0.9769207166444325,0.9543260795504481,0.9999152482308388,0.49348326382405044,0.4774624041879837,0.5099046667399856
all confirmed cases,jaundice OR renal OR haemorrhage (primary),5,0.9139496329043972,1087508741.0,11205,8559,2646,0.763855421686747,0.7558789484878656,0.7716945788067335,0.7870281568614996,0.7704419180258573,0.803881509179105,0.24330838918746675,0.23412513653992345,0.252759529748766
all confirmed cases,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,1,0.41915085817524844,236920404.0,11968,3977,7991,0.332302807486631,0.3238635910637678,0.34082365641924306,1.6786228340215055,1.6268534439713276,1.7316204047469077,3.3728627273487173,3.299311948017717,3.447639762951893
all confirmed cases,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,2,0.6706794861436536,376629531.0,11865,5648,6217,0.47602191319005477,0.4670002138178544,0.48505538202155163,1.4996168741744258,1.4607595677039145,1.5392461119321048,1.650693715783004,1.6099136344373062,1.6922455667765355
all confirmed cases,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,3,0.7441766418634747,529824435.0,11854,6202,5652,0.5231989201957146,0.5141607686455375,0.5322256741417887,1.1705764382120276,1.141622831612806,1.20007866567124,1.0667684664260528,1.0391366261038708,1.094949038818119
all confirmed cases,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,4,0.8445305415876679,726671047.0,10685,7099,3586,0.6643893308376229,0.6553452239902544,0.6733437755973342,0.9769207166444325,0.9543260795504481,0.9999152482308388,0.49348326382405044,0.4774624041879837,0.5099046667399856
all confirmed cases,jaundice OR renal OR haemorrhage OR pulmonary haemorrhage,5,0.9139496329043972,1087508741.0,11205,8559,2646,0.763855421686747,0.7558789484878656,0.7716945788067335,0.7870281568614996,0.7704419180258573,0.803881509179105,0.24330838918746675,0.23412513653992345,0.252759529748766
all confirmed cases,jaundice alone,1,0.41915085817524844,236920404.0,12238,3648,8590,0.29808792286321295,0.2899917291452616,0.3062802476268418,1.539757631005897,1.4901927790772098,1.5905509516519407,3.6256902550275916,3.5494178554152667,3.7031887471769926
all confirmed cases,jaundice alone,2,0.6706794861436536,376629531.0,12315,5218,7097,0.4237109216402761,0.4149617944275611,0.432496124849412,1.3854463260343757,1.3481072732206145,1.423557449427623,1.8843450701161297,1.8407570324372884,1.928704666817573
